,gold_labels,bert_labels,logr_labels,cnn_w2v,ct_bert_outputs,ct_bert_labels,bert_outputs,cnn_glove_outputs,cnn_glove_labels,cnn_w2v_outputs,cnn_w2v_labels,ct_bert_probs,bert_probs,ensemble_prob,ensemble_labels,ensemble_avg_prob,ensemble_avg_labels,ensemble_best1_prob,ensemble_best1_labels,Text,albert_outputs,albert_labels,albert_probs,cnn_w2v_probs,cnn_glove_probs,voted_bert_labels
10,1,1,0,0,"(-5.5456295, 5.797806)",1,"(-2.9658031, 3.3139963)",0.24746832,0,0.19026227,0,"(1.1846864234836085e-05, 0.9999881531357652)","(0.0018702719645410908, 0.9981297280354591)",0.6077223300368063,1,"(1.5625345431313415, 2.4374654568686585)",1,"(1.1846864234836085e-05, 0.9999881531357652)",1,"#FYI In the Free state the total number of COVID Cases is 86, 76 of these are in Mngaung. The Premier appeals to Free Staters to stay at home. #LockdownSA #day7lockdown HTTPURL","(-4.0258155, 4.2549214)",1,"(0.0002532862671066763, 0.9997467137328934)","(0.8097377299999999, 0.19026227)","(0.75253168, 0.24746832)",1
11,0,0,0,0,"(4.9864306, -5.8092804)",0,"(2.4067173, -2.9456832)",0.0024800696,0,0.00016901885,0,"(0.9999795132349366, 2.0486765063443648e-05)","(0.9952855644491087, 0.0047144355508912635)",0.008061865123768712,0,"(3.997202464545081, 0.0027975354549189934)",0,"(0.9999795132349366, 2.0486765063443648e-05)",0,"Many in the ultra-Orthodox Jewish community have ignored government lockdown orders. Known in Israel as God-fearers, they make up about 12% of the population — but account for as much as 60% of Israel's COVID-19 cases. HTTPURL","(4.602442, -4.361221)",0,"(0.9998720397601446, 0.00012796023985554966)","(0.99983098115, 0.00016901885)","(0.9975199304, 0.0024800696)",0
12,0,0,0,0,"(5.331629, -5.801578)",0,"(2.3704703, -2.8915722)",0.36681753,0,0.35562846,0,"(0.9999853814840735, 1.4618515926319527e-05)","(0.9948420383666804, 0.005157961633319565)",0.1984871132890076,0,"(3.277464317695212, 0.7225356823047877)",0,"(0.9999853814840735, 1.4618515926319527e-05)",0,Mexico braces for coronavirus - World Health Organization says people with diabetes &amp; its related health complications are among those most vulnerable to severe cases of COVID19 &amp; Mexico has an obesity &amp; diabetes epidemic. HTTPURL,"(4.776666, -4.720298)",0,"(0.9999249262111383, 7.507378886141912e-05)","(0.6443715400000001, 0.35562846)","(0.6331824699999999, 0.36681753)",0
13,0,0,0,0,"(5.505536, -5.766839)",0,"(2.4080508, -2.9443223)",0.08725035,0,0.108766176,0,"(0.9999872806705726, 1.2719329427442217e-05)","(0.9952854358808194, 0.004714564119180396)",0.05458758170646243,0,"(3.8038792266806967, 0.19612077331930325)",0,"(0.9999872806705726, 1.2719329427442217e-05)",0,"Is this happening in England and Wales? The Scottish government is now moving to a new definition of coronavirus deaths, relying on details from the National Records of Scotland so that anyone whose death certificate mentions Covid-19 will now be included in the daily totals.","(4.6796355, -4.6191387)",0,"(0.9999084720101243, 9.152798987579679e-05)","(0.891233824, 0.108766176)","(0.91274965, 0.08725035)",0
14,0,0,0,0,"(5.363893, -5.8791943)",0,"(2.4044628, -2.9432678)",0.03800886,0,0.0008866983,0,"(0.9999869026468456, 1.309735315460158e-05)","(0.9952636015404265, 0.004736398459573631)",0.018064911804458773,0,"(3.9609856797086915, 0.0390143202913085)",0,"(0.9999869026468456, 1.309735315460158e-05)",0,Why do @USER keep pushing the Scot Govt figures for number of Covid19 tests administered (big-sounding number but irrelevant) as well as the number of cases confirmed (very small and relevant)? The former is potentially misleading and alarming.,"(4.67108, -4.4840546)",0,"(0.999894335361846, 0.00010566463815390226)","(0.9991133017, 0.0008866983)","(0.96199114, 0.03800886)",0
15,0,0,0,0,"(5.19521, -5.837477)",0,"(2.4059498, -2.9441495)",0.07978747,0,0.009995105,0,"(0.9999838356630372, 1.6164336962789224e-05)","(0.9952747544202939, 0.004725245579706275)",0.029106496873041787,0,"(3.910062807126256, 0.08993719287374435)",0,"(0.9999838356630372, 1.6164336962789224e-05)",0,"SC native here. GA really tried to get Stacey Abrams, but gerrymandering &amp; heavy voter suppression; the likes of which most hadn't seen in this generation, made sure Kemp ""won."" The Stacey Abrams/Brian Kemp case was a sample of what was to come on a national level (pre COVID-19)","(4.6911283, -4.193709)",0,"(0.9998615464632186, 0.00013845353678156754)","(0.990004895, 0.009995105)","(0.92021253, 0.07978747)",0
16,1,1,1,0,"(-2.6715136, 2.281256)",1,"(-2.9606178, 3.312479)",0.72803885,1,0.4616464,0,"(0.007014270333842565, 0.9929857296661576)","(0.0018828260724789991, 0.9981171739275209)",0.5667394087064175,1,"(0.8297972510658348, 3.170202748934165)",1,"(0.007014270333842565, 0.9929857296661576)",1,IN PICTURES: NOA Mobile Public Address Van swings into action to increase awareness level on novel #CoronaVirus (COVID-19) especially after a first case was recorded recently. We engaged the mainstream media on the need for #Nigerians not to panic; desist from misinformation. HTTPURL,"(-1.9829738, 2.389051)",1,"(0.012468230731992236, 0.9875317692680078)","(0.5383536, 0.4616464)","(0.27196115, 0.72803885)",1
17,1,1,1,1,"(-5.580669, 5.567959)",1,"(-2.9602914, 3.314045)",0.9951916,1,0.9995522,1,"(1.4394816306292338e-05, 0.9999856051836934)","(0.0018804979535362466, 0.9981195020464636)",0.9984122445393158,1,"(0.005425299826100578, 3.994574700173899)",1,"(1.4394816306292338e-05, 0.9999856051836934)",1,"The Taslee Palm City Estate in Maitama, Abuja, has alerted its residents of a confirmed case of Coronavirus (COVID-19) in the estate. The management of the estate disclosed this in a statement, saying the infected resident had been… HTTPURL - TheWhistler","(-4.1275964, 4.6462393)",1,"(0.00015470500979424215, 0.9998452949902056)","(0.0004477999999999982, 0.9995522)","(0.004808400000000046, 0.9951916)",1
18,1,1,1,1,"(-5.224452, 5.723152)",1,"(-2.959406, 3.3131278)",0.99965477,1,0.9991584,1,"(1.7599824985419516e-05, 0.999982400175015)","(0.0018838844044742904, 0.9981161155955256)",0.9982898232384521,1,"(0.0012481125351017353, 3.9987518874648993)",1,"(1.7599824985419516e-05, 0.999982400175015)",1,"Soooo.... more than 1000 people died above normal figures in: London, Midlands, the north and south west. This means that it’s highly likely, 3000 ARE DYING PER DAY FROM #coronavirus #CoronaVirusUpdate #CV19 #CVID19 ... not 778 ...","(-4.6909375, 5.347577)",1,"(4.368271011634371e-05, 0.9999563172898839)","(0.0008415999999999979, 0.9991584)","(0.00034522999999997417, 0.99965477)",1
19,0,0,0,0,"(5.179298, -5.4531937)",0,"(2.4049757, -2.9493487)",0.18782425,0,0.012516263,0,"(0.9999758811247631, 2.4118875236798986e-05)","(0.995294583194688, 0.00470541680531203)",0.058822466930067215,0,"(3.7994722227130957, 0.20052777728690394)",0,"(0.9999758811247631, 2.4118875236798986e-05)",0,"Crime Report ⚠️ 📆6/4/20 🗺 Parrow WC 📂 fakenews 55yr old perp depicted in viral video claiming that COVID-19 test kits are contaminated arrested.Perp charged ito Reg11(5)(c) of the Disaster Management Act, in relation to #FakeNews HTTPURL","(4.5363135, -4.184392)",0,"(0.9998368545883329, 0.00016314541166714106)","(0.987483737, 0.012516263)","(0.81217575, 0.18782425)",0
20,1,1,0,0,"(-4.1488914, 3.846247)",1,"(-2.961116, 3.3123784)",0.7177481,1,0.6546794,1,"(0.0003369838873815202, 0.9996630161126184)","(0.001882079018303066, 0.998117920981697)",0.8311985364582506,1,"(1.6276274720331498, 2.37237252796685)",1,"(0.0003369838873815202, 0.9996630161126184)",1,Anyone else notice that Pompeo isn't allowed to go near Trump? It's because he's suspected of having the coronavirus after the authorities found out several people at AIPAC got the virus. 🤣🤣🤣🤣🤣,"(4.20464, -3.9686394)",0,"(0.9997179881457684, 0.00028201185423169567)","(0.3453206, 0.6546794)","(0.2822519, 0.7177481)",1
21,1,1,1,1,"(-5.528819, 5.7884254)",1,"(-2.9600089, 3.313717)",0.9999844999999999,1,0.9999999,1,"(1.2161241843950722e-05, 0.9999878387581559)","(0.001881644187178778, 0.9981183558128212)",0.9994429857401158,1,"(6.653304599847484e-05, 3.999933466954001)",1,"(1.2161241843950722e-05, 0.9999878387581559)",1,"There are eight new cases of #COVID19 in #Saskatchewan, bringing the total to 52. The #Sask pet capita rate of cases per one million people is now 44, ahead of #Canada as a whole for the moment at 38. There have been 4,536 tests performed in the province. #COVID19SK","(-4.7129445, 5.444834)",1,"(3.877180415451962e-05, 0.9999612281958452)","(9.999999994736442e-08, 0.9999999)","(1.5500000000057135e-05, 0.9999844999999999)",1
22,1,0,0,0,"(4.486422, -4.371666)",0,"(2.400471, -2.9422405)",0.9901984,1,0.8713483,1,"(0.9998577934836824, 0.00014220651631733838)","(0.9952398827689523, 0.004760117231048092)",0.6830633778542555,1,"(1.1384540603044768, 2.861545939695523)",1,"(0.9998577934836824, 0.00014220651631733838)",0,"240,000 Americans died from coronavirus and, whether they knew it or not, their deaths marked the Trump Administration's most spectular achievement in owning the libs.","(-4.353919, 4.498836)",1,"(0.0001429668207945415, 0.9998570331792056)","(0.12865170000000004, 0.8713483)","(0.009801599999999966, 0.9901984)",0
23,0,1,0,0,"(-5.063185, 5.147343)",1,"(-2.9611447, 3.3130348)",0.29809225,0,0.062140003,0,"(3.6779689520078575e-05, 0.99996322031048)","(0.0018807924718414525, 0.9981192075281587)",0.5895202374942271,1,"(2.6396979993858283, 1.360302000614172)",0,"(3.6779689520078575e-05, 0.99996322031048)",1,"An increasing number of public safety personnel – police, corrections officers, firefighters, EMT/paramedics have been found to be infected with #Covid_19. More are in quarantine after exposure to an individual with COVID-19. This is a thread of some cases in the US to date. 1/n","(4.557106, -4.5898967)",0,"(0.9998934726963082, 0.00010652730369196744)","(0.937859997, 0.062140003)","(0.7019077499999999, 0.29809225)",1
24,1,1,1,1,"(-5.527463, 5.765872)",1,"(-2.9605467, 3.3144083)",0.9999733000000001,1,0.9999995,1,"(1.2455510088311003e-05, 0.9999875444899115)","(0.0018793372227411892, 0.9981206627772586)",0.9997311523215116,1,"(8.505050532694746e-05, 3.9999149494946726)",1,"(1.2455510088311003e-05, 0.9999875444899115)",1,"New York statewide coronavirus total hits 22 as officials announce 11 more cases in NYC, Long Island and Westchester County HTTPURL","(-4.6238503, 5.376213)",1,"(4.5394995238742485e-05, 0.999954605004761)","(4.999999999588667e-07, 0.9999995)","(2.669999999993511e-05, 0.9999733000000001)",1
25,1,1,1,1,"(-4.702785, 5.055058)",1,"(-2.9601896, 3.313335)",0.9323093000000001,1,0.99869245,1,"(5.7835901749679604e-05, 0.9999421640982508)","(0.0018820222873452191, 0.9981179777126548)",0.9810072486579882,1,"(0.06913040771806939, 3.930869592281931)",1,"(5.7835901749679604e-05, 0.9999421640982508)",1,NEWS: A permanent memorial is going to be set up at the #Kent hospital where nurse Aimee O'Rourke worked and died. The 39-year-old mum-of-three caught #coronavirus after treating patients #kmfmnews HTTPURL HTTPURL,"(-4.4605947, 5.046437)",1,"(7.432181631978322e-05, 0.9999256781836801)","(0.0013075500000000462, 0.99869245)","(0.06769069999999988, 0.9323093000000001)",1
26,1,1,1,1,"(-5.5339165, 5.6411085)",1,"(-2.9620347, 3.312844)",0.9985905,1,0.9992368,1,"(1.4019812924629836e-05, 0.9999859801870759)","(0.0018794803521264669, 0.9981205196478737)",0.9359595091556164,1,"(0.006083494827687917, 3.9939165051723124)",1,"(1.4019812924629836e-05, 0.9999859801870759)",1,#KatieMiller is #StephenMillers new wife &amp; #Pence new Press sec. She just let us know someone #Pence staff is positive for #coronavirus BUT that person has had NO CONTACT w/ #TrumpPence. I want #DrFauci kept away from them for the duration.,"(-2.4710443, 3.0726573)",1,"(0.0038967750147633714, 0.9961032249852364)","(0.0007631999999999639, 0.9992368)","(0.0014094999999999525, 0.9985905)",1
27,1,1,1,1,"(-5.225874, 5.1870375)",1,"(-2.9603965, 3.313505)",0.9998671,1,0.9998754,1,"(3.0041177273840402e-05, 0.9999699588227261)","(0.0018813144210315645, 0.9981186855789685)",0.9995640332225648,1,"(0.0003666363273991161, 3.999633363672601)",1,"(3.0041177273840402e-05, 0.9999699588227261)",1,"i didn’t know I’ll wake up from the news of deloitte ph having an employee with covid 19, making ph with 6 confirmed cases. ingat kayo lagi guys, pls!!","(-4.5731964, 4.8715835)",1,"(7.909515012525413e-05, 0.9999209048498752)","(0.00012460000000003024, 0.9998754)","(0.00013289999999999136, 0.9998671)",1
28,0,0,0,0,"(4.9317765, -5.6184487)",0,"(2.4030678, -2.945023)",0.016915785,0,0.0026481056,0,"(0.999973813103011, 2.618689698848137e-05)","(0.9952652992077439, 0.004734700792256454)",0.01064501164164614,0,"(3.980313718588385, 0.019686281411614485)",0,"(0.999973813103011, 2.618689698848137e-05)",0,"Do to ongoing developments related to COVID-19, #TXST undergraduate application deadlines for Fall 2020 have been extended through August 1 (June 1 for international freshmen). Go to HTTPURL to learn more. #TXSTbound #TXST24","(4.603137, -4.6458073)",0,"(0.999903796085374, 9.620391462600484e-05)","(0.9973518944, 0.0026481056)","(0.983084215, 0.016915785)",0
29,1,1,0,1,"(-5.530947, 5.747188)",1,"(-2.9603205, 3.313562)",0.8961653,1,0.99874485,1,"(1.2646277607663147e-05, 0.9999873537223921)","(0.0018813500990956934, 0.9981186499009045)",0.9734008754005501,1,"(0.10515933324903418, 3.894840666750966)",1,"(1.2646277607663147e-05, 0.9999873537223921)",1,"Pakistani has recorded 3,277 COVID-19 cases and 50 deaths caused by the virus, however, the true tally is thought to be many times larger as only limited testing is available in the impoverished country of 215 million. #ProtectDoctors HTTPURL","(-4.634379, 5.1408877)",1,"(5.683697142657794e-05, 0.9999431630285736)","(0.0012551499999999827, 0.99874485)","(0.10383469999999995, 0.8961653)",1
30,1,0,0,0,"(5.245104, -5.4703426)",0,"(2.4049897, -2.9436765)",0.15529875,0,0.005983242,0,"(0.9999778011217385, 2.2198878261483602e-05)","(0.9952680098830609, 0.004731990116938968)",0.049624760716341226,0,"(3.838589310030387, 0.1614106899696129)",0,"(0.9999778011217385, 2.2198878261483602e-05)",0,"@USER @USER @USER Or maybe Europe via New York strain on Ruby 'New research indicates that the coronavirus began to circulate in the New York area by mid-February, weeks before the first confirmed case, and that travellers brought in the virus mainly from Europe, not Asia' HTTPURL","(4.7272596, -4.420008)",0,"(0.9998935009086485, 0.00010649909135141553)","(0.994016758, 0.005983242)","(0.84470125, 0.15529875)",0
31,1,1,1,1,"(-5.4908533, 5.7470593)",1,"(-2.960386, 3.31402)",0.9993165999999999,1,0.9999988,1,"(1.3165302793565508e-05, 0.9999868346972065)","(0.0018803673215321986, 0.9981196326784676)",0.9996520561695428,1,"(0.0007388598097804645, 3.9992611401902196)",1,"(1.3165302793565508e-05, 0.9999868346972065)",1,"74 cases of #COVID19 today in TN😕.That takes them to total of 485 covid cases in the state.There were hardly any cases there ,like 3 weeks ago when I left Chennai. Now 300 plus cases in last 3-4 days.All affiliated to Nizamudin event. Scary!","(-4.7593064, 5.3402886)",1,"(4.10945069867528e-05, 0.999958905493013)","(1.2000000000345068e-06, 0.9999988)","(0.0006834000000001117, 0.9993165999999999)",1
32,1,1,1,1,"(-5.5130877, 5.7765656)",1,"(-2.9608507, 3.3137505)",1.0,1,1.0,1,"(1.2501451485845786e-05, 0.9999874985485145)","(0.0018800009996352623, 0.9981199990003646)",0.9996887759037574,1,"(0.00010602626897562044, 3.9998939737310244)",1,"(1.2501451485845786e-05, 0.9999874985485145)",1,Alberta reports second presumptive case of new coronavirus; man from Edmonton HTTPURL HTTPURL,"(-4.3711576, 4.9060326)",1,"(9.352481748977465e-05, 0.9999064751825097)","(0.0, 1.0)","(0.0, 1.0)",1
33,0,0,0,0,"(5.2342815, -5.596622)",0,"(2.4091678, -2.9487083)",0.19530974,0,0.018928137,0,"(0.9999802216623755, 1.9778337624877372e-05)","(0.9953111875587342, 0.004688812441265875)",0.06400475717190904,0,"(3.785644627585164, 0.21435537241483632)",0,"(0.9999802216623755, 1.9778337624877372e-05)",0,"PLEASE share pictures of loved 1s who’ve died from #TheTrumpVirus (Name age transition date 2 celebrate their life) #Covid19 2 make the numbers personal. 240,000 is NOT a good job nor is it optimistic if “That’s All” the #deaths 45 had a chance 2 act Dec Jan Feb Mar etc. #Failed HTTPURL","(4.6815915, -4.551745)",0,"(0.9999022829227883, 9.771707721143244e-05)","(0.981071863, 0.018928137)","(0.80469026, 0.19530974)",0
34,0,0,0,0,"(5.171091, -4.940846)",0,"(2.403022, -2.9432805)",2.1717602000000002e-05,0,7.296925999999999e-08,0,"(0.9999594095439354, 4.059045606504754e-05)","(0.9952568647633423, 0.004743135236657532)",0.008906435020440858,0,"(3.9997367901716383, 0.00026320982836265053)",0,"(0.9999594095439354, 4.059045606504754e-05)",0,@USER @USER If malaria drug success in US it will help NHS Read re Covid-19 &amp; malaria drug HTTPURL HTTPURL HTTPURL And @USER HTTPURL HTTPURL,"(4.4800534, -4.0328035)",0,"(0.9997991711989626, 0.00020082880103760298)","(0.99999992703074, 7.296925999999999e-08)","(0.999978282398, 2.1717602000000002e-05)",0
35,0,0,1,0,"(5.365176, -5.8204856)",0,"(2.4086566, -2.9526467)",0.033354383,0,0.024210421,0,"(0.999986128517883, 1.3871482117243438e-05)","(0.99532715458972, 0.004672845410280093)",0.020054927876596792,0,"(3.9422395753038018, 0.057760424696198895)",0,"(0.999986128517883, 1.3871482117243438e-05)",0,"Just received this little nugget (quote) in text from a family member. So, apparently there’s a lot of excitement out there about the amount of prayer and Bible reading these thousands of coronavirus deaths is going to inspire. This is not the God revealed in Jesus. I’m sick. HTTPURL","(4.513865, -4.098836)",0,"(0.9998182507859182, 0.00018174921408165224)","(0.975789579, 0.024210421)","(0.966645617, 0.033354383)",0
36,1,1,1,1,"(-5.4138227, 5.77845)",1,"(-2.9597044, 3.3138661)",0.99996173,1,1.0,1,"(1.378008009240006e-05, 0.9999862199199078)","(0.0018819360670717141, 0.9981180639329285)",0.9988947986084542,1,"(0.0001095236841599669, 3.99989047631584)",1,"(1.378008009240006e-05, 0.9999862199199078)",1,"#COVID19 latest, 6pm GMT Cases 297,457 Deaths 12,777 Recoveries 94,584 Grim day in #Italy: world-record ~800 deaths (+20%); docs beg other nations to 'treat at home' #US overtakes #Germany in total cases to rank 4th in world #UK #NHS buys 8,000 private beds, 1,200 ventilators HTTPURL","(-4.6399317, 5.1241956)",1,"(5.747360406755992e-05, 0.9999425263959322)","(0.0, 1.0)","(3.827000000000691e-05, 0.99996173)",1
37,0,0,1,0,"(4.7119174, -4.4378786)",0,"(2.3824735, -2.9538913)",0.7020225,1,0.16447724,0,"(0.9998937698122552, 0.00010623018774488339)","(0.9952097208391029, 0.004790279160897155)",0.2375568873198781,0,"(2.135119814784116, 1.864880185215884)",0,"(0.9998937698122552, 0.00010623018774488339)",0,Total Cases Of Coronavirus ( 1st March - 17th April ) Coronavirus Bar Chart Race Keep an eye on 🇰🇷 South Korea and 🇺🇸 USA #COVID19 HTTPURL,"(-2.90832, 3.452026)",1,"(0.0017257849718607806, 0.9982742150281392)","(0.83552276, 0.16447724)","(0.2979775, 0.7020225)",0
38,0,0,0,0,"(5.3042164, -5.6335754)",0,"(2.4004996, -2.9652653)",0.045275167000000005,0,0.00061768584,0,"(0.9999822266350689, 1.7773364930775598e-05)","(0.9953478597438709, 0.0046521402561294205)",0.016336270340497776,0,"(3.9539659543679804, 0.04603404563201986)",0,"(0.9999822266350689, 1.7773364930775598e-05)",0,"“This pandemic is a black swan, an unexpected event history will be shaped around. And it didn’t have to be, just like death of Archduke Franz Ferdinand didn’t have to mean World War One.” — Tom Kawczynski, slightly paraphrased, on @USER #covid19","(4.6107016, -4.389097)",0,"(0.9998765805729112, 0.00012341942708907897)","(0.99938231416, 0.00061768584)","(0.954724833, 0.045275167000000005)",0
39,1,1,1,1,"(-5.484535, 5.71277)",1,"(-2.9604318, 3.3136923)",0.9999931000000001,1,0.9999989,1,"(1.371090973510811e-05, 0.9999862890902648)","(0.0018808964746435384, 0.9981191035253566)",0.9991489117117328,1,"(7.719865934691797e-05, 3.999922801340653)",1,"(1.371090973510811e-05, 0.9999862890902648)",1,"The 19th PH death is PH205, a 73-year-old Filipina from San Juan with no travel or exposure history. Pronounced dead on arrival on March 12 due to cardiac arrest. She tested positive for COVID-19 on March 18. She was a known diabetic and hypertensive.","(-4.6270328, 5.17226)",1,"(5.548774961191288e-05, 0.9999445122503883)","(1.09999999997612e-06, 0.9999989)","(6.899999999920858e-06, 0.9999931000000001)",1
